Model,Fiyat,Resim_Link,Kaynak_Link,United Kingdom,The Netherlands,Germany,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,First Leg Distance,Charging Stop,Second Leg Distance,Total Distance,First Leg Duration,Second Leg Duration,Total Duration,Nominal Capacity,Battery Type,Number of Cells,Architecture,Warranty Period,Warranty Mileage,Useable Capacity,Cathode Material,Pack Configuration,Nominal Voltage,Form Factor,Name / Reference,Charge Port,Port Location,Charge Power,Charge Time (0->265 km),Charge Speed,Charge Power (max),Charge Power (10-80%),Autocharge Supported,Plug & Charge Supported,Supported Protocol,Preconditioning Possible,Automatically using Navigation,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power,Total Torque,Drive,V2L Supported,Max. Output Power,Exterior Outlet(s),Interior Outlet(s),V2H via AC Supported,V2H via DC Supported,V2G via AC Supported,V2G via DC Supported,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,Length,Width,Width with mirrors,Height,Wheelbase,Weight Unladen (EU),Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Cargo Volume Max,Cargo Volume Frunk,Roof Load,Tow Hitch Possible,Towing Weight Unbraked,Towing Weight Braked,Vertical Load Max,Seats,Isofix,Turning Circle,Platform,EV Dedicated Platform,Car Body,Segment,Roof Rails,Heat pump (HP),HP Standard Equipment,0,1,2,3,4,5,Useable Capacity*,Charge Time (0->455 km),Total Power *,Total Torque *,Adult Occupant,Child Occupant,Rating Year,Vulnerable Road Users,Safety Assist,Charge Time (0->255 km),Charge Time (0->425 km),City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Charge Time (0->370 km),Electric Range,Weight Measured,Weight Distribution (F/R),Weight Front Axle,Weight Rear Axle,Charge Time (0->230 km),Charge Time (0->205 km),Nominal Capacity							*,Charge Time (0->365 km),Charge Time (0->470 km),Charge Time (0->500 km),Charge Time (0->275 km),Charge Time (0->325 km),Charge Time (0->315 km),Charge Time (0->250 km),Charge Time (0->270 km),Acceleration 0 - 100 km/h *,Charge Time (0->465 km),Charge Time (0->85 km),Port Location 2,Charge Time (0->485 km),Charge Time (0->300 km),Charge Time (0->440 km),Port Location 2 ‡,Charge Time (0->525 km),Charge Time (0->480 km),Charge Time (0->460 km),Charge Time (0->355 km),Charge Time (0->495 km),Charge Time (0->95 km),Charge Time (0->530 km),Charge Time (0->335 km),Charge Time (0->360 km),Charge Time (0->385 km),Charge Time (0->505 km),Charge Time (0->520 km),Charge Time (0->545 km),Charge Time (0->390 km),Charge Time (0->415 km),Charge Power (max) *,Charge Power (10-80%) *,Charge Speed *,Charge Time (0->350 km),Charge Time (0->280 km),Charge Time (0->450 km),Charge Time (0->345 km),Charge Time (0->165 km),Charge Time (0->290 km),Charge Time (0->170 km),Charge Time (0->185 km),Charge Time (0->320 km),Charge Time (0->380 km),Charge Time (0->150 km),Charge Time (0->420 km),Charge Time (0->445 km),Charge Time (0->550 km),Charge Time (0->225 km),Charge Time (0->475 km),Weight Unladen (EU) *,Charge Time (0->435 km),Charge Time (0->310 km),Charge Time (0->285 km),Charge Time (0->540 km),Charge Time (0->400 km),Charge Time (0->180 km),Charge Time (0->405 km),Charge Time (0->235 km),Charge Time (0->720 km),Charge Time (0->295 km),Charge Time (0->490 km),Charge Time (0->135 km),Length *,Width *,Width with mirrors *,Height *,Towing Weight Unbraked *,Towing Weight Braked *,Vertical Load Max *,Charge Time (0->125 km),Charge Time (0->260 km),Charge Time (0->410 km),Rated Consumption *,Rated Fuel Equivalent *,Charge Time (0->565 km),Charge Time (0->160 km),United Kingdom *,Charge Time (0->240 km),Charge Time (0->395 km),Charge Time (0->510 km),Charge Time (0->340 km),Charge Time (0->430 km),Charge Time (0->555 km),Charge Time (0->100 km),Charge Time (0->330 km),Charge Time (0->140 km),Charge Time (0->245 km),The Netherlands *,Charge Time (0->605 km),Charge Time (0->375 km),Charge Time (0->175 km),Charge Time (0->190 km),Charge Time (0->120 km),Charge Time (0->535 km),Charge Time (0->665 km),Charge Time (0->200 km),Charge Time (0->515 km),Charge Time (0->570 km),Charge Time (0->580 km),Charge Time (0->305 km),Charge Time (0->615 km),Charge Time (0->610 km),Germany *,Charge Time (0->220 km),Charge Time (0->590 km),Charge Time (0->575 km),Charge Time (0->640 km),Charge Time (0->215 km),Charge Time (0->560 km),Charge Time (0->585 km),Charge Time (0->685 km),Charge Time (0->210 km),Charge Time (0->635 km),Charge Time (0->600 km),Top Speed *,Charge Time (0->145 km),Charge Time (0->655 km),Charge Time (0->155 km),Charge Time (0->105 km),Charge Time (0->115 km),Charge Power *,Charge Time (0->500 km) *,Charge Time (0->350 km) *,Charge Time (0->670 km),kW_Gucu,Euro_Fiyat,Tahmini_TR_Fiyati_TL
Citroën ë-Jumpy Combi XL 75 kWh,N/A,,https://ev-database.org/car/1598/Citroen-e-Jumpy-Combi-XL-75-kWh,Not Available,Oct 2021 - Jan 2024,Nov 2020 - Jan 2024,242 Wh/km,373 Wh/km,300 Wh/km,175 Wh/km,300 Wh/km,234 Wh/km,185 km,15 min,67 km,252 km,1h 41min,37min,2h 33min,75.0 kWh,Lithium-ion,324,400 V,8 years,"160,000 km",69.0 kWh,NMC622,108s3p,400 V,Prismatic,No Data,CCS,Left Side - Front,7.4 kW AC,11 hours,270 km/h,100 kW DC,77 kW DC,Yes,No,-,No,No,13.3 sec,130 km/h,265 km,100 kW (136 PS),260 Nm,Front,No,-,-,-,No,No,No,No,265 km,260 Wh/km,0 g/km,2.9 l/100km,315 km,268 Wh/km,219 Wh/km,3.0 l/100km,2.5 l/100km,5308 mm,1920 mm,2204 mm,1890 mm,3275 mm,2161 kg,2970 kg,884 kg,912 L,3497 L,0 L,100 kg,Yes,750 kg,1000 kg,60 kg,9 people,"Yes, 3 seats",11.5 m,PSA EMP2,No,Small Passenger Van,N - Passenger Van,No,Varies by country,Varies by country,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,0,0
Tesla Model Y Long Range AWD (Juniper),N/A,,https://ev-database.org/car/3104/Tesla-Model-Y-Long-Range-AWD,Feb 2025 - Oct 2025,Feb 2025 - Oct 2025,Feb 2025 - Oct 2025,172 Wh/km,231 Wh/km,197 Wh/km,115 Wh/km,176 Wh/km,143 Wh/km,332 km,15 min,203 km,535 km,3h 1min,1h 51min,5h 7min,78.1 kWh,Lithium-ion,4416,400 V,8 years,"192,000 km",,NMC,96s46p,357 V,Cylindrical,LG M50,CCS,Left Side - Rear,11 kW AC,,700 km/h,250 kW DC,124 kW DC,Yes,No,-,Yes,Yes,4.8 sec,201 km/h,455 km,,,AWD,No,-,-,-,No,No,No,No,455 km,165 Wh/km,0 g/km,1.9 l/100km,568 km,153 Wh/km,132 Wh/km,1.7 l/100km,1.5 l/100km,4790 mm,1982 mm,2129 mm,1624 mm,2890 mm,2072 kg,2517 kg,520 kg,854 L,2138 L,117 L,75 kg,Yes,750 kg,1600 kg,72 kg,5 people,"Yes, 2 seats",12.1 m,Tesla 3/Y,Yes,SUV,JD - Large,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,75.0 kWh,8h15m,378 kW (514 PS),493 Nm,97%,87%,2022,79%,98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Hyundai INSTER Standard Range,N/A,,https://ev-database.org/car/2230/Hyundai-INSTER-Standard-Range,Since October 2024,Since October 2024,Since January 2025,156 Wh/km,217 Wh/km,181 Wh/km,100 Wh/km,170 Wh/km,132 Wh/km,181 km,15 min,85 km,266 km,1h 39min,46min,2h 40min,42.0 kWh,Lithium-ion,No Data,400 V,8 years,"160,000 km",,NMC,No Data,266 V,No Data,No Data,CCS,Front Side - Left,11 kW AC,,360 km/h,73 kW DC,60 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,11.7 sec,140 km/h,255 km,71 kW (97 PS),147 Nm,Front,Yes,-,1 x Type 2 (Adapter),1 x Standard Socket,No,No,No,No,255 km,153 Wh/km,0 g/km,1.7 l/100km,323 km,148 Wh/km,121 Wh/km,1.7 l/100km,1.4 l/100km,3825 mm,1610 mm,No Data,1575 mm,2580 mm,1380 kg,1730 kg,425 kg,280 L,1059 L,No Data,75 kg,No Data,No Data,No Data,No Data,4 people,"Yes, 2 seats",No Data,No Data,No,SUV,JA - Mini,Yes,Varies by country,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,39.0 kWh,,,,70%,81%,2025,70%,67%,4h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
XPENG G6 AWD Performance (MY25),N/A,,https://ev-database.org/car/3276/XPENG-G6-AWD-Performance,Since March 2026,Since August 2025,Since August 2025,193 Wh/km,262 Wh/km,222 Wh/km,131 Wh/km,205 Wh/km,165 Wh/km,308 km,15 min,240 km,548 km,2h 48min,2h 11min,5h 14min,80.8 kWh,Lithium-ion,No Data,800 V,8 years,"160,000 km",80.0 kWh,LFP,No Data,No Data,No Data,LFP L300,CCS,Right Side - Rear,11 kW AC,,1480 km/h,451 kW DC,290 kW DC,Yes,No,-,Yes,Yes,4.1 sec,202 km/h,425 km,358 kW (487 PS),660 Nm,AWD,Yes,-,1 x Type 2 (Adapter),1 x Standard Socket,No,No,No,No,425 km,188 Wh/km,0 g/km,2.1 l/100km,510 km,184 Wh/km,157 Wh/km,2.1 l/100km,1.8 l/100km,4758 mm,1920 mm,No Data,1650 mm,2890 mm,2295 kg,2690 kg,470 kg,571 L,1374 L,No Data,75 kg,Yes,750 kg,1500 kg,75 kg,5 people,"Yes, 2 seats",11.6 m,XPeng SEPA 2.0,Yes,SUV,JD - Large,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,88%,85%,2024,81%,75%,,8h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Hongqi E-HS9 99 kWh,N/A,,https://ev-database.org/car/1747/Hongqi-E-HS9-99-kWh,Not Available,Since December 2022,Not Available,,,,,,,264 km,15 min,103 km,367 km,2h 24min,56min,3h 35min,99.0 kWh,Lithium-ion,No Data,400 V,8 years,"160,000 km",90.0 kWh,NMC,No Data,410 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,430 km/h,140 kW DC,112 kW DC,Yes,No,-,No,No,4.9 sec,200 km/h,,405 kW (551 PS),750 Nm,AWD,No,-,-,-,No,No,No,No,,,0 g/km,,465 km,220 Wh/km,194 Wh/km,2.5 l/100km,2.2 l/100km,5209 mm,2010 mm,No Data,1731 mm,3110 mm,2705 kg,3180 kg,550 kg,438 L,1814 L,No Data,75 kg,Yes,750 kg,1500 kg,No Data,5 people,No Data,No Data,No Data,No,SUV,JF - Luxury,Yes,No Data,No Data,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,82%,87%,2025,73%,82%,,,234 Wh/km,340 Wh/km,281 Wh/km,167 Wh/km,273 Wh/km,217 Wh/km,9h45m,370 km,2780 kg,47% / 53%,1300 kg,1480 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Toyota Proace City Verso L2 50 kWh,N/A,,https://ev-database.org/car/2166/Toyota-Proace-City-Verso-L2-50-kWh,Since August 2024,Jun 2024 - Dec 2025,Since June 2024,208 Wh/km,313 Wh/km,250 Wh/km,145 Wh/km,244 Wh/km,192 Wh/km,162 km,15 min,80 km,242 km,1h 28min,44min,2h 27min,52.0 kWh,Lithium-ion,No Data,400 V,10 years,"200,000 km",50.0 kWh,LFP,No Data,No Data,Prismatic,No Data,CCS,Left Side - Rear,7.4 kW AC,,340 km/h,100 kW DC,80 kW DC,Yes,No,-,No,No,11.7 sec,132 km/h,230 km,100 kW (136 PS),260 Nm,Front,No,-,-,-,No,No,No,No,230 km,217 Wh/km,0 g/km,2.4 l/100km,335 km,187 Wh/km,149 Wh/km,2.1 l/100km,1.7 l/100km,4753 mm,1921 mm,2107 mm,1814 mm,2975 mm,1881 kg,2390 kg,584 kg,1050 L,3500 L,0 L,100 kg,Yes,750 kg,750 kg,50 kg,7 people,"Yes, 2 seats",10.8 m,PSA EMP2,No,Small Passenger Van,N - Passenger Van,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,8 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,0,0
Volkswagen e-Up!,N/A,,https://ev-database.org/car/1189/Volkswagen-e-Up,Feb 2020 - Sep 2021,Jan 2020 - Nov 2021,Jan 2020 - Sep 2020,,,,,,,146 km,15 min,42 km,188 km,1h 20min,23min,1h 58min,36.8 kWh,Lithium-ion,168,400 V,8 years,"160,000 km",32.3 kWh,NMC622,84s2p,310 V,No Data,No Data,CCS,Right Side - Rear,7.2 kW AC,,170 km/h,37 kW DC,29 kW DC,No,No,-,No,No,11.9 sec,130 km/h,,61 kW (83 PS),210 Nm,Front,No,-,-,-,No,No,No,No,,,0 g/km,,251 km,155 Wh/km,129 Wh/km,1.7 l/100km,1.4 l/100km,3600 mm,1645 mm,No Data,1492 mm,2417 mm,1235 kg,1530 kg,370 kg,250 L,923 L,0 L,50 kg,No,0 kg,0 kg,0 kg,4 people,"Yes, 2 seats",9.8 m,VAG NSF,No,Hatchback,A - Mini,No,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,81%,83%,2019,45%,55%,,,158 Wh/km,223 Wh/km,185 Wh/km,101 Wh/km,175 Wh/km,135 Wh/km,,205 km,,,,,,5h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,0,0
BYD SEAL 61.4 kWh RWD Comfort (MY26),N/A,,https://ev-database.org/car/3517/BYD-SEAL-614-kWh-RWD-Comfort,Not Available,Not Available,Since March 2026,178 Wh/km,232 Wh/km,201 Wh/km,118 Wh/km,178 Wh/km,146 Wh/km,270 km,15 min,114 km,384 km,2h 27min,1h 2min,3h 44min,,Lithium-ion,128,800 V,8 years,"250,000 km",61.4 kWh,LFP,128s1p,410 V,Prismatic,BYD BLADE,CCS,Right Side - Rear,11 kW AC,,420 km/h,110 kW DC,75 kW DC,Yes,No,-,No,No,7.5 sec,220 km/h,365 km,170 kW (231 PS),380 Nm,Rear,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,365 km,168 Wh/km,0 g/km,1.9 l/100km,460 km,154 Wh/km,133 Wh/km,1.7 l/100km,1.5 l/100km,4800 mm,1875 mm,2150 mm,1460 mm,2920 mm,2045 kg,2380 kg,410 kg,485 L,1440 L,72 L,No Data,Yes,750 kg,750 kg,75 kg,5 people,"Yes, 3 seats",11.4 m,BYD e-Platform 3.0,Yes,Sedan,D - Large,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,89%,87%,2023,82%,76%,,,,,,,,,,,,,,,,,63.0 kWh,6h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Volkswagen ID.3 GTX (MY24-26),N/A,,https://ev-database.org/car/2152/Volkswagen-ID3-GTX,Not Available,Oct 2024 - Apr 2025,May 2024 - Apr 2026,174 Wh/km,236 Wh/km,200 Wh/km,115 Wh/km,182 Wh/km,146 Wh/km,340 km,15 min,186 km,526 km,3h 6min,1h 41min,5h 2min,84.0 kWh,Lithium-ion,288,400 V,8 years,"160,000 km",79.0 kWh,NMC,96s3p,353 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,750 km/h,185 kW DC,135 kW DC,No,Yes,ISO 15118-2,Yes,Yes,5.9 sec,180 km/h,470 km,210 kW (286 PS),545 Nm,Rear,No,No Data,-,-,No,Announced,No,Announced,470 km,168 Wh/km,0 g/km,1.9 l/100km,604 km,145 Wh/km,131 Wh/km,1.6 l/100km,1.5 l/100km,4322 mm,1809 mm,2070 mm,1538 mm,2770 mm,1985 kg,2430 kg,520 kg,385 L,1267 L,0 L,0 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 3 seats",10.5 m,VAG MEB,Yes,Hatchback,C - Medium,No,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,86%,87%,2025,78%,76%,,,,,,,,,,,,,,,,,,,8h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Mercedes-Benz EQS SUV 450+,N/A,,https://ev-database.org/car/1673/Mercedes-Benz-EQS-SUV-450plus,Not Available,Dec 2022 - Oct 2023,Dec 2022 - Oct 2023,217 Wh/km,301 Wh/km,252 Wh/km,151 Wh/km,238 Wh/km,192 Wh/km,362 km,15 min,173 km,535 km,3h 17min,1h 34min,5h 6min,,Lithium-ion,432,400 V,10 years,"250,000 km",108.4 kWh,NMC811,108s4p,396 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,750 km/h,207 kW DC,169 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,6.7 sec,210 km/h,500 km,265 kW (360 PS),568 Nm,Rear,No,-,-,-,No,No,No,No,500 km,217 Wh/km,0 g/km,2.4 l/100km,540 km,229 Wh/km,201 Wh/km,2.6 l/100km,2.3 l/100km,5125 mm,1959 mm,2157 mm,1718 mm,3210 mm,2695 kg,3265 kg,645 kg,645 L,2100 L,0 L,100 kg,Yes,750 kg,750 kg,100 kg,7 people,No Data,11 m,Mercedes-Benz EVA2,Yes,SUV,JF - Luxury,No,No Data,No Data,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,120.0 kWh,,,11h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
